ID,Organization,Category,Headquarters,Region,Africa Presence,Fit Priority,Remote Indicator,Visa Indicator,Career URL,Suggested Roles
1,United Nations Secretariat,UN & Multilateral,"New York, USA",Global,Yes,High,Limited / role-dependent,Possible for selected roles,https://careers.un.org/,ICT Manager | Enterprise Architect | Digital Transformation | Programme Technology | Data & Analytics
251,Bill & Melinda Gates Foundation,"Research, Foundations & Policy","Seattle, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.gatesfoundation.org/about/careers,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
252,Rockefeller Foundation,"Research, Foundations & Policy","New York, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.rockefellerfoundation.org/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
253,Wellcome Trust,"Research, Foundations & Policy","London, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://wellcome.org/jobs,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
254,Mastercard Foundation,"Research, Foundations & Policy","Toronto, Canada",Africa,Yes,Medium,Limited / role-dependent,Role and location dependent,https://mastercardfdn.org/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
255,Ford Foundation,"Research, Foundations & Policy","New York, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.fordfoundation.org/about/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
256,MacArthur Foundation,"Research, Foundations & Policy","Chicago, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.macfound.org/about/careers,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
257,Open Society Foundations,"Research, Foundations & Policy","New York, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.opensocietyfoundations.org/employment,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
258,Aga Khan Foundation,"Research, Foundations & Policy","Geneva, Switzerland",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.akdn.org/careers,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
259,Omidyar Network,"Research, Foundations & Policy","Redwood City, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://omidyar.com/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
260,Schmidt Futures,"Research, Foundations & Policy","New York, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.schmidtfutures.com/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
261,CGIAR,"Research, Foundations & Policy","Montpellier, France",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.cgiar.org/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
262,International Livestock Research Institute,"Research, Foundations & Policy","Nairobi, Kenya",Africa,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.ilri.org/jobs,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
263,ICARDA,"Research, Foundations & Policy","Beirut, Lebanon",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.icarda.org/about-us/work-us,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
264,AfricaRice,"Research, Foundations & Policy","Abidjan, Côte d’Ivoire",Africa,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.africarice.org/jobs,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
265,KEMRI,"Research, Foundations & Policy","Nairobi, Kenya",Africa,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.kemri.go.ke/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
266,African Population and Health Research Center,"Research, Foundations & Policy","Nairobi, Kenya",Africa,Yes,Medium,Limited / role-dependent,Role and location dependent,https://aphrc.org/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
267,Ifakara Health Institute,"Research, Foundations & Policy","Dar es Salaam, Tanzania",Africa,Yes,Medium,Limited / role-dependent,Role and location dependent,https://ihi.or.tz/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
268,RAND Corporation,"Research, Foundations & Policy","Santa Monica, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.rand.org/jobs.html,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
269,Brookings Institution,"Research, Foundations & Policy","Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.brookings.edu/careers/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
270,ODI Global,"Research, Foundations & Policy","London, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://odi.org/en/about/jobs/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
271,Institute of Development Studies,"Research, Foundations & Policy","Brighton, UK",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.ids.ac.uk/about-us/jobs/,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
272,Carnegie Endowment for International Peace,"Research, Foundations & Policy","Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://carnegieendowment.org/about/jobs,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
273,Center for Global Development,"Research, Foundations & Policy","Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.cgdev.org/page/careers,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
274,World Resources Institute,"Research, Foundations & Policy","Washington, DC, USA",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.wri.org/careers,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
275,International Institute for Sustainable Development,"Research, Foundations & Policy","Winnipeg, Canada",Global,Yes,Medium,Limited / role-dependent,Role and location dependent,https://www.iisd.org/about-iisd/employment,Digital Strategy | Research Systems | Data Platforms | Technology Programme | Knowledge Systems
276,Smart Africa,Africa Digital & High-Growth,"Kigali, Rwanda",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://smartafrica.org/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
277,AfricaNenda,Africa Digital & High-Growth,"Nairobi, Kenya",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.africanenda.org/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
278,Code for Africa,Africa Digital & High-Growth,"Nairobi, Kenya",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://codeforafrica.org/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
279,Andela,Africa Digital & High-Growth,"New York, USA",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.andela.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
280,Flutterwave,Africa Digital & High-Growth,"San Francisco, USA",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://flutterwave.com/us/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
281,Interswitch,Africa Digital & High-Growth,"Lagos, Nigeria",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.interswitchgroup.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
282,Paystack,Africa Digital & High-Growth,"Lagos, Nigeria",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://paystack.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
283,M-PESA Africa,Africa Digital & High-Growth,"Nairobi, Kenya",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.safaricom.co.ke/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
284,Wave Mobile Money,Africa Digital & High-Growth,"Dakar, Senegal",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.wave.com/en/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
285,Tyme Group,Africa Digital & High-Growth,Singapore,Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.tyme.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
286,Jumia,Africa Digital & High-Growth,"Berlin, Germany",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://group.jumia.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
287,Kobo360,Africa Digital & High-Growth,"Lagos, Nigeria",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.kobo360.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
288,Yoco,Africa Digital & High-Growth,"Cape Town, South Africa",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.yoco.com/za/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
289,M-KOPA,Africa Digital & High-Growth,"Nairobi, Kenya",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://m-kopa.com/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
290,Cellulant,Africa Digital & High-Growth,"Nairobi, Kenya",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.cellulant.io/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
291,Moniepoint,Africa Digital & High-Growth,"London, UK",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://moniepoint.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
292,OPay,Africa Digital & High-Growth,"Cairo, Egypt",Africa,Yes,Medium,Often role-dependent,Role and location dependent,https://www.opayweb.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
293,Fawry,Africa Digital & High-Growth,"Cairo, Egypt",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://www.fawry.com/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
294,Egyptian Banks Company,Africa Digital & High-Growth,"Cairo, Egypt",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://www.egyptianbanks.com/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
295,Raya Holding,Africa Digital & High-Growth,"Cairo, Egypt",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://rayacorp.com/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
296,ITWorx,Africa Digital & High-Growth,"Cairo, Egypt",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://www.itworx.com/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
297,Valeo Egypt,Africa Digital & High-Growth,"Cairo, Egypt",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://valeo.wd3.myworkdayjobs.com/en-US/valeo_jobs,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
298,Sumerge,Africa Digital & High-Growth,"Cairo, Egypt",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://www.sumerge.com/careers/,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
299,Incorta,Africa Digital & High-Growth,"San Mateo, USA",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://www.incorta.com/company/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
300,Vezeeta,Africa Digital & High-Growth,"Cairo, Egypt",Middle East,Varies,Medium,Often role-dependent,Role and location dependent,https://www.vezeeta.com/en/careers,Technology Leadership | Platform Architecture | Digital Products | Data | Systems Integration
